subj,session,run,run_trial,context,cue_idx,cue,context_switch,cue_switch,hue_switch,ori_switch,hue,ori,congruent,hue_diff,ori_diff,hue_prop,ori_prop,hue_strength,ori_strength,context_prop,context_strength,iti_trs,iti,break,trial_time_tr,cue_time,stim_time,target_response,context_diff,distract_diff,distract_strength,distract_prop,cue_onset,stim_onset,correct,rt,response,key,stim_frames,dropped_frames,answered,log_switch_lag,log_switch_surprise
ti01,a,1,20,hue,0,6,False,False,hue,hue,red,left,True,hard,hard,0.46,0.47,0.04,0.03,0.46,0.04,0,0.0,False,157.0,113.06,113.76,False,hard,hard,0.03,0.47,113.047895908,113.764853954,False,1.50143480301,1.0,9.0,90,0,True,1.60943791243,1.09861228867
ti01,a,1,21,ori,0,4,True,True,ori,ori,red,right,False,hard,hard,0.46,0.53,0.04,0.03,0.53,0.03,0,0.0,False,163.0,117.38,118.08,True,hard,hard,0.04,0.46,117.365963936,118.082954884,False,1.68596506119,0.0,4.0,102,0,True,0.0,1.38629436112
ti01,a,1,22,ori,1,5,False,True,ori,ori,green,left,False,hard,hard,0.54,0.47,0.04,0.03,0.47,0.03,3,2.16,False,169.0,121.7,122.4,False,hard,hard,0.04,0.54,121.683854818,122.40073204,False,1.51816010475,1.0,9.0,91,0,True,0.69314718056,0.0
ti01,a,1,23,hue,0,6,True,True,hue,hue,red,left,True,hard,easy,0.46,0.25,0.04,0.25,0.46,0.04,0,0.0,False,178.0,128.18,128.88,False,hard,easy,0.25,0.25,128.169327021,128.885910034,False,1.601364851,1.0,9.0,96,0,True,0.0,0.0
ti01,a,1,24,hue,1,3,False,True,hue,hue,red,right,False,easy,easy,0.36,0.75,0.14,0.25,0.36,0.14,6,4.32,False,184.0,132.5,133.2,False,easy,easy,0.25,0.75,132.487169027,133.204053879,True,0.918194055557,0.0,4.0,55,0,True,0.69314718056,0.0
ti01,a,1,25,ori,0,4,True,True,ori,ori,red,right,False,hard,easy,0.46,0.75,0.04,0.25,0.75,0.25,3,2.16,False,196.0,141.14,141.84,True,easy,hard,0.04,0.46,141.12312603,141.839871883,True,1.43732595444,1.0,9.0,87,0,True,0.0,0.0
ti01,a,1,26,ori,0,4,False,False,ori,ori,green,left,False,hard,hard,0.54,0.47,0.04,0.03,0.47,0.03,2,1.44,False,205.0,147.62,148.32,False,hard,hard,0.04,0.54,147.608268023,148.325263023,True,1.11930704117,0.0,4.0,68,0,True,0.69314718056,0.0
ti01,a,1,27,ori,0,4,False,False,ori,ori,red,right,False,easy,easy,0.36,0.75,0.14,0.25,0.75,0.25,0,0.0,False,213.0,153.38,154.08,True,easy,easy,0.14,0.36,153.360102892,154.093724966,True,1.1843791008,1.0,9.0,71,0,True,1.09861228867,0.0
ti01,a,1,28,ori,1,5,False,True,ori,ori,green,left,False,easy,hard,0.64,0.47,0.14,0.03,0.47,0.03,5,3.6,False,219.0,157.7,158.4,False,hard,easy,0.14,0.64,157.678043842,158.411653996,True,1.16770601273,0.0,4.0,70,0,True,1.38629436112,0.69314718056
ti01,a,1,29,ori,1,5,False,False,ori,ori,green,right,True,hard,easy,0.54,0.75,0.04,0.25,0.75,0.25,2,1.44,False,230.0,165.62,166.32,True,easy,hard,0.04,0.54,165.597123861,166.330760956,True,0.884280920029,1.0,9.0,53,0,True,1.60943791243,1.09861228867
